Year,Month,Date,Snow.Fall,Temp.Max,Temp.Min,Temp.Mean
1958,November,19581101,0.4,50.2,32.5,41.4
1958,December,19581201,10.7,28.4,12.6,20.5
1959,January,19590101,15.7,25.2,7.16,16.2
1959,Febrary,19590201,2.2,31.8,16.7,24.3
1959,March,19590301,3,43.9,27.7,35.8
1959,April,19590401,0.6,56.8,37.9,47.5
1959,November,19591101,10.4,39.6,24.1,31.8
1959,December,19591201,6.9,40.1,28.8,34.3
1960,January,19600101,3.5,32.7,21,26.8
1960,Febrary,19600201,17.4,29.7,19.6,24.6
1960,March,19600301,13.3,32.4,16.5,24.4
1960,April,19600401,0,61.5,42.6,52
1960,November,19601101,0.1,49.8,33.6,41.7
1960,December,19601201,4.2,32,14.9,23.5
1961,January,19610101,3,29.1,11.3,20.3
1961,Febrary,19610201,6.5,39.9,22.6,31.3
1961,March,19610301,2.4,46.4,29.5,37.9
1961,April,19610401,6.9,52.7,34,43.3
1961,November,19611101,2,47.7,32,39.9
1961,December,19611201,10.7,32.7,17.8,25.3
1962,January,19620101,18.6,24.1,9.3,16.7
1962,Febrary,19620201,10.1,30.9,18,24.4
1962,March,19620301,5.7,39.6,27.3,33.4
1962,April,19620401,0.7,58.8,38.8,48.7
1962,November,19621101,0.3,50,30.2,40.1
1962,December,19621201,2.4,32,14.4,23.2
1963,January,19630101,16.8,19.4,3.7,11.5
1963,Febrary,19630201,8.5,27.5,6.4,16.9
1963,March,19630301,7.6,49.3,30.2,39.7
1963,April,19630401,0,62.4,39.4,50.9
1963,November,19631101,0,52,31.8,41.9
1963,December,19631201,8.9,23.2,3.4,13.3
1964,January,19640101,1.7,36.5,18.9,27.7
1964,Febrary,19640201,5.9,36.3,16.9,26.6
1964,March,19640301,19.8,43,24.4,33.8
1964,April,19640401,0,58.1,39.9,49.1
1964,November,19641101,2.3,52.2,30.6,41.4
1964,December,19641201,11.1,32.7,16.7,24.6
1965,January,19650101,11.7,30.4,12.6,21.4
1965,Febrary,19650201,11.5,33.4,15.1,24.3
1965,March,19650301,24.8,33.6,19.6,26.6
1965,April,19650401,0,55.4,37.8,46.6
1965,November,19651101,0.2,49.8,30.7,40.3
1965,December,19651201,6.6,42.6,27.9,35.2
1966,January,19660101,15.5,25.3,7.2,16.3
1966,Febrary,19660201,4.3,35.2,17.1,26.1
1966,March,19660301,0.7,49.3,29.7,39.6
1966,April,19660401,0,55.4,35.1,45.1
1966,November,19661101,0.5,51.6,33.3,42.4
1966,December,19661201,8.4,33.8,20.3,27
1967,January,19670101,25.2,35.6,19.8,27.7
1967,Febrary,19670201,21.5,28.9,10.8,19.8
1967,March,19670301,8.8,44.2,28.6,36.5
1967,April,19670401,3.4,57.9,39,48.4
1967,November,19671101,2.4,44.1,30.4,37.2
1967,December,19671201,2.9,37.2,23.4,30.2
1968,January,19680101,10.4,30.7,16.9,23.7
1968,Febrary,19680201,3.8,33.3,14,23.5
1968,March,19680301,1.5,54.3,31.3,42.8
1968,April,19680401,0.1,63.1,41.4,52.3
1968,November,19681101,0.7,46.8,33.3,39.9
1968,December,19681201,10.9,34.5,21,27.9
1969,January,19690101,3.7,28,14,21
1969,Febrary,19690201,2.4,35.6,24.1,29.8
1969,March,19690301,4.7,44.2,24.6,34.3
1969,April,19690401,0,61.5,39.9,50.7
